书名,作者,ISBN,分类,出版社,出版年份,库存数量,价格,描述
Java编程思想,Bruce Eckel,9787111213826,计算机,机械工业出版社,2021,15,89.00,Java编程经典教材
数据结构与算法,严蔚敏,9787302147510,计算机,清华大学出版社,2020,20,65.00,数据结构基础教材
算法导论（第3版）,Thomas H. Cormen,9787111407928,计算机,机械工业出版社,2019,10,128.00,算法学习权威教材
深入理解计算机系统,Randal E. Bryant,9787111544937,计算机,机械工业出版社,2021,12,139.00,计算机系统底层原理
Python编程快速上手,Al Sweigart,9787115428028,计算机,人民邮电出版社,2020,25,79.00,Python自动化实战
设计模式,Gang of Four,9787111075769,计算机,机械工业出版社,2018,8,65.00,软件设计模式经典
现代操作系统,Andrew S. Tanenbaum,9787111544951,计算机,机械工业出版社,2019,15,118.00,操作系统原理教材
计算机网络,Andrew S. Tanenbaum,9787111407928,计算机,机械工业出版社,2020,18,108.00,计算机网络基础
数据库系统概念,Abraham Silberschatz,9787111544937,计算机,机械工业出版社,2021,12,158.00,数据库理论与实践
软件工程,Ian Sommerville,9787111407935,计算机,机械工业出版社,2019,10,135.00,软件工程方法论
平凡的世界,路遥,9787020002207,文学,人民文学出版社,2018,20,98.00,茅盾文学奖获奖作品
围城,钱钟书,9787506365437,文学,作家出版社,2019,15,48.00,中国现代文学经典
白鹿原,陈忠实,9787544253994,文学,南海出版公司,2017,12,68.00,茅盾文学奖作品
活着,余华,9787506365437,文学,作家出版社,2020,25,38.00,当代文学经典
许三观卖血记,余华,9787506365444,文学,作家出版社,2019,18,35.00,余华代表作
红高粱家族,莫言,9787506365451,文学,作家出版社,2018,15,58.00,诺贝尔文学奖作品
白夜行,东野圭吾,9787544253994,文学,南海出版公司,2020,22,48.00,东野圭吾推理小说
解忧杂货店,东野圭吾,9787544270878,文学,南海出版公司,2019,20,45.00,温暖治愈系小说
挪威的森林,村上春树,9787544253987,文学,南海出版公司,2018,16,52.00,村上春树代表作
1984,乔治·奥威尔,9787544270885,文学,南海出版公司,2019,14,42.00,反乌托邦经典 
