书名,作者,ISBN,分类,出版社,出版年份,库存数量,价格,描述
Spring实战,Craig Walls,9787115457328,计算机,人民邮电出版社,2022,18,89.00,Spring框架开发指南
MySQL必知必会,Ben Forta,9787115348661,计算机,人民邮电出版社,2021,22,69.00,MySQL数据库实用教程
Redis设计与实现,黄健宏,9787111464747,计算机,机械工业出版社,2020,15,88.00,Redis深入解析
高性能MySQL,Baron Schwartz,9787121198854,计算机,电子工业出版社,2021,12,118.00,MySQL性能优化指南
JavaScript权威指南,David Flanagan,9787121348669,计算机,电子工业出版社,2022,20,128.00,JavaScript完整参考手册
React实战,Stoyan Stefanov,9787115487236,计算机,人民邮电出版社,2021,16,98.00,React前端开发实践
Node.js实战,Mike Cantelon,9787115387443,计算机,人民邮电出版社,2020,14,88.00,Node.js后端开发
Docker技术入门与实战,杨保华,9787121331908,计算机,电子工业出版社,2021,18,78.00,Docker容器化技术
Kubernetes权威指南,龚正,9787121348676,计算机,电子工业出版社,2022,10,138.00,K8s集群管理
微服务架构设计模式,Chris Richardson,9787115487243,计算机,人民邮电出版社,2021,12,108.00,微服务架构实践
三体,刘慈欣,9787536692930,文学,重庆出版社,2019,30,75.00,科幻文学巨作
三体II：黑暗森林,刘慈欣,9787536693968,文学,重庆出版社,2020,25,78.00,三体系列第二部
三体III：死神永生,刘慈欣,9787536695412,文学,重庆出版社,2020,20,82.00,三体系列完结篇
流浪地球,刘慈欣,9787536695429,文学,重庆出版社,2019,22,48.00,刘慈欣科幻小说集
球状闪电,刘慈欣,9787536695436,文学,重庆出版社,2018,18,52.00,硬科幻代表作
红楼梦,曹雪芹,9787020002214,文学,人民文学出版社,2017,15,128.00,中国古典文学四大名著
西游记,吴承恩,9787020002221,文学,人民文学出版社,2018,20,88.00,古典神话小说
水浒传,施耐庵,9787020002238,文学,人民文学出版社,2019,18,98.00,古典英雄传奇
三国演义,罗贯中,9787020002245,文学,人民文学出版社,2020,16,108.00,历史演义小说
百年孤独,加西亚·马尔克斯,9787544270892,文学,南海出版公司,2021,14,68.00,魔幻现实主义经典 
